volunteer_id,name,phone,email,city,lat,lng,skills,profile_text,availability,current_load,max_load,rating,completed_count
VOL028,Jyoti Nimbalkar,9927982963,jyoti26@gmail.com,Buldhana,20.51427,76.20869,disaster relief,rescue coordination logistics disaster management emergency supply chain,True,1,3,3.6,21
VOL029,Jyoti Kamble,9138684919,jyoti57@gmail.com,Wardha,20.74181,78.61454,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,4,4.9,34
VOL030,Ganesh Sawant,9937643439,ganesh81@gmail.com,Malad,19.15971,72.84028,disaster relief,rescue coordination logistics disaster management emergency supply chain,False,0,2,4.5,22
VOL031,Sandesh Yadav,9456681425,sandesh62@gmail.com,Wardha,20.72457,78.62799,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,False,2,3,3.5,47
VOL032,Shilpa Pawar,9344378798,shilpa38@gmail.com,Borivali,19.24794,72.83319,disaster relief,rescue coordination logistics disaster management emergency supply chain,False,0,3,4.0,50
VOL033,Priya Mehta,9675757257,priya52@gmail.com,Ghatkopar,19.07991,72.89482,medical,medical aid emergency healthcare first aid treatment patient care nursing,False,0,4,4.3,43
VOL034,Priya More,9568574364,priya87@gmail.com,Dombivli,19.19511,73.11745,"shelter,disaster relief",shelter construction temporary housing logistics materials management camp setup,True,1,3,4.6,20
VOL035,Rajesh Thorat,9891388192,rajesh95@gmail.com,Malegaon,20.5393,74.48156,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,True,3,4,4.5,47
VOL036,Sneha Mane,9644518647,sneha49@gmail.com,Latur Camp,18.383,76.57025,"hygiene,disaster relief",sanitation waste management hygiene clean water drainage camp cleanliness,True,1,2,4.6,19
VOL037,Sandesh Gaikwad,9760904107,sandesh82@gmail.com,Kolhapur,16.71683,74.24656,"disaster relief,food",food distribution logistics supply chain community kitchen ration management,True,3,4,4.6,11
VOL038,Vishal Thorat,9574765466,vishal96@gmail.com,Gondia,21.48052,80.18513,"disaster relief,food",food distribution logistics supply chain community kitchen ration management,True,1,4,4.0,28
VOL039,Neha Nimbalkar,9200273738,neha40@gmail.com,Hingoli,19.73532,77.17709,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,True,0,4,4.4,21
VOL040,Rupa Bhosale,9718121922,rupa34@gmail.com,Ghatkopar,19.06484,72.88087,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,2,3,4.1,40
VOL041,Madhuri Wagh,9288856883,madhuri99@gmail.com,Kolhapur,16.68964,74.25266,"medical,disaster relief",rescue operations flood disaster emergency first aid response recovery,False,2,2,4.7,14
VOL042,Geeta Shinde,9440696084,geeta66@gmail.com,Gondia,21.44545,80.2178,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,1,4,5.0,38
VOL043,Girish Reddy,9659741412,girish72@gmail.com,Gondia,21.45725,80.17645,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,2,4,3.9,49
VOL044,Nitin Pawar,9511281012,nitin98@gmail.com,Osmanabad,18.16065,76.02904,"shelter,disaster relief",shelter construction temporary housing logistics materials management camp setup,True,2,2,3.7,14
VOL045,Lata Shah,9727150493,lata99@gmail.com,Kandivali,19.17845,72.83906,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,3,4.1,49
VOL046,Ajay Naik,9686405096,ajay87@gmail.com,Yavatmal,20.39334,78.11902,"hygiene,medical",sanitation hygiene disease prevention medical waste clean water public health,True,0,3,4.3,47
VOL047,Amit Wagh,9237039296,amit89@gmail.com,Thane City,19.20468,72.97724,"medical,education",teaching education children school learning counselling emotional support youth,True,1,3,4.6,29
VOL048,Priya Pillai,9507059676,priya51@gmail.com,Kolhapur,16.71051,74.25308,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,0,3,3.8,16
VOL049,Neha Deshpande,9120812641,neha79@gmail.com,Amravati City,20.92765,77.80238,"shelter,disaster relief",shelter construction temporary housing logistics materials management camp setup,False,2,3,4.8,30
VOL050,Vijay Mane,9263619298,vijay40@gmail.com,Thane City,19.22731,72.99497,disaster relief,rescue coordination logistics disaster management emergency supply chain,False,2,2,4.8,39
VOL051,Dinesh Wagh,9871330207,dinesh24@gmail.com,Chiplun,17.50756,73.54107,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,2,2,4.4,47
VOL052,Prakash Kulkarni,9181600593,prakash85@gmail.com,Mankhurd,19.05772,72.95873,"hygiene,shelter",sanitation shelter hygiene camp setup toilet construction clean environment,True,3,3,4.9,12
VOL053,Shilpa More,9672030854,shilpa64@gmail.com,Nalasopara,19.43705,72.81822,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,False,2,4,4.7,22
VOL054,Pallavi Desai,9859466878,pallavi29@gmail.com,Akola,20.71845,76.97346,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,False,0,3,4.5,29
VOL055,Nisha Kamble,9736164778,nisha44@gmail.com,Mira Road,19.2825,72.87793,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,False,1,3,4.2,46
VOL056,Manisha Naik,9130816384,manisha73@gmail.com,Kalyan,19.26354,73.1107,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,1,4,4.5,21
VOL057,Manisha Kamble,9305145276,manisha20@gmail.com,Buldhana,20.51193,76.20207,"hygiene,disaster relief",sanitation waste management hygiene clean water drainage camp cleanliness,True,1,3,4.3,33
VOL058,Nitin Joshi,9534222401,nitin98@gmail.com,Sangli City,16.85171,74.59699,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,1,2,3.6,14
VOL059,Shilpa Kulkarni,9587205269,shilpa44@gmail.com,Chiplun,17.53559,73.5126,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,True,3,4,4.0,44
VOL060,Rupa Pawar,9893070706,rupa71@gmail.com,Thane City,19.19554,72.95966,medical,medical support mental health counselling trauma care psychological first aid,True,3,4,3.8,13
VOL061,Archana Joshi,9424557359,archana11@gmail.com,Jalgaon City,21.0363,75.56408,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,False,2,3,3.8,11
VOL062,Dinesh Pawar,9405307028,dinesh70@gmail.com,Andheri East,19.14206,72.8729,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,2,2,4.8,36
VOL063,Lalita Deshpande,9837071174,lalita16@gmail.com,Aurangabad City,19.85726,75.31638,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,0,3,3.6,40
VOL064,Lata Jadhav,9342329714,lata76@gmail.com,Malegaon,20.58485,74.48401,"hygiene,food",food distribution hygiene sanitation safe food handling nutrition community,True,2,4,4.4,39
VOL065,Siddharth Deshpande,9918982730,siddharth36@gmail.com,Osmanabad,18.17384,76.04721,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,True,1,4,4.9,6
VOL066,Neha Pawar,9412737284,neha14@gmail.com,Chiplun,17.50557,73.49859,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,3,4.5,30
VOL067,Sapna Kulkarni,9556489494,sapna24@gmail.com,Vasai,19.35166,72.84738,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,3,4,4.4,12
VOL068,Amit Nair,9409893263,amit66@gmail.com,Goregaon,19.1885,72.8686,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,2,4,4.6,36
VOL069,Pooja Deshpande,9888699799,pooja51@gmail.com,Nalasopara,19.40895,72.79135,"shelter,disaster relief",shelter construction temporary housing logistics materials management camp setup,True,1,2,4.4,27
VOL070,Rahul Patil,9143198431,rahul32@gmail.com,Kurla,19.05634,72.89306,"hygiene,shelter",sanitation shelter hygiene camp setup toilet construction clean environment,True,0,4,4.7,36
VOL071,Yogesh Nimbalkar,9457887167,yogesh51@gmail.com,Ratnagiri City,16.98673,73.29869,"hygiene,shelter",sanitation shelter hygiene camp setup toilet construction clean environment,True,2,2,4.2,26
VOL072,Prakash Gaikwad,9447112584,prakash24@gmail.com,Sangli City,16.86402,74.56879,"medical,education",teaching education children school learning counselling emotional support youth,False,1,3,3.6,16
VOL073,Rashmi Naik,9635252889,rashmi90@gmail.com,Akola,20.7291,76.97277,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,4,4.0,48
VOL074,Harish Bhat,9753770973,harish40@gmail.com,Andheri West,19.10191,72.84935,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,True,1,2,3.5,40
VOL075,Sunita Kale,9413383963,sunita75@gmail.com,Sangli City,16.82799,74.61104,medical,medical support mental health counselling trauma care psychological first aid,True,0,2,4.2,45
VOL076,Sachin Sawant,9174958005,sachin45@gmail.com,Hingoli,19.74651,77.13412,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,4,4.3,8
VOL077,Komal Gaikwad,9579476614,komal78@gmail.com,Akola,20.69563,76.97285,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,False,1,4,4.2,9
VOL078,Lalita Mane,9350785761,lalita62@gmail.com,Aurangabad City,19.87932,75.34591,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,False,2,4,3.9,24
VOL079,Meena Gaikwad,9139749508,meena26@gmail.com,Wardha,20.74368,78.62701,"medical,education",teaching education children school learning counselling emotional support youth,True,1,4,5.0,31
VOL080,Tushar Naik,9265744099,tushar19@gmail.com,Mankhurd,19.07545,72.92942,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,False,0,2,4.1,41
VOL081,Yogesh Iyer,9773020489,yogesh72@gmail.com,Dombivli,19.20471,73.10126,medical,medical aid emergency healthcare first aid treatment patient care nursing,False,2,4,4.1,20
VOL082,Suresh Yadav,9780481547,suresh22@gmail.com,Bhandup,19.13849,72.95326,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,False,2,3,5.0,48
VOL083,Harish Kamble,9670335494,harish62@gmail.com,Nalasopara,19.40867,72.76894,"hygiene,disaster relief",sanitation waste management hygiene clean water drainage camp cleanliness,False,0,3,4.1,15
VOL084,Asha Kamble,9784944881,asha42@gmail.com,Chembur,19.03664,72.92125,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,True,1,4,3.7,29
VOL085,Umesh Pawar,9421214426,umesh91@gmail.com,Chiplun,17.50126,73.53248,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,True,0,3,4.9,37
VOL086,Girish Shah,9417690559,girish99@gmail.com,Dombivli,19.21181,73.07783,"medical,education",teaching education children school learning counselling emotional support youth,False,0,3,4.4,36
VOL087,Smita Patil,9751831074,smita55@gmail.com,Chiplun,17.52445,73.48469,disaster relief,rescue coordination logistics disaster management emergency supply chain,False,2,3,4.7,14
VOL088,Vikram Yadav,9573330302,vikram14@gmail.com,Dombivli,19.22507,73.10296,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,3,4,3.6,50
VOL089,Omkar Joshi,9669998399,omkar74@gmail.com,Malad,19.16261,72.83611,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,True,0,4,4.8,23
VOL090,Sachin Reddy,9180852074,sachin28@gmail.com,Borivali,19.21612,72.87618,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,False,0,3,4.7,29
VOL091,Amit Naik,9588322781,amit57@gmail.com,Bhiwandi,19.31365,73.0873,"food,education",teaching education mid day meal school feeding programme children nutrition,True,2,2,3.9,7
VOL092,Jyoti Chavan,9452194058,jyoti88@gmail.com,Solapur East,17.69985,75.93282,medical,medical support mental health counselling trauma care psychological first aid,True,1,4,4.8,35
VOL093,Arun Nair,9224683417,arun22@gmail.com,Nanded,19.16286,77.30913,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,True,0,2,4.0,31
VOL094,Nitin Shetty,9206323670,nitin72@gmail.com,Gadchiroli,20.15904,80.00302,"food,education",teaching education mid day meal school feeding programme children nutrition,True,2,2,4.8,41
VOL095,Sandesh Pawar,9684615760,sandesh92@gmail.com,Andheri East,19.12502,72.85274,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,False,2,2,5.0,23
VOL096,Swati Shinde,9154308262,swati52@gmail.com,Kolhapur,16.69155,74.27139,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,0,4,4.4,1
VOL097,Shilpa Jadhav,9946799779,shilpa86@gmail.com,Malegaon,20.54021,74.52869,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,2,4.0,9
VOL098,Ramesh Pawar,9946571918,ramesh40@gmail.com,Goregaon,19.19325,72.85141,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,True,2,2,3.5,50
VOL099,Manisha Patil,9651085057,manisha85@gmail.com,Chembur,19.04782,72.87661,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,True,2,3,4.2,23
VOL100,Anita Deshpande,9531233244,anita64@gmail.com,Akola,20.69289,77.00961,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,True,1,2,3.6,30
VOL101,Anita Wagh,9728530544,anita80@gmail.com,Vasai,19.38928,72.80021,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,0,2,3.9,40
VOL102,Manisha Thorat,9925667446,manisha80@gmail.com,Nandurbar,21.36853,74.23052,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,True,2,2,4.8,41
VOL103,Neha Sawant,9373685835,neha57@gmail.com,Osmanabad,18.20929,76.03673,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,2,3,4.1,42
VOL104,Lata Mehta,9164404084,lata85@gmail.com,Hingoli,19.69173,77.16941,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,2,3,4.7,35
VOL105,Tushar Mehta,9211240259,tushar83@gmail.com,Govandi,19.05645,72.94592,"disaster relief,education",teaching education volunteer school material distribution learning centre setup,False,2,3,4.4,22
VOL106,Neha Jadhav,9702332331,neha89@gmail.com,Chiplun,17.52963,73.53504,"hygiene,medical",sanitation hygiene disease prevention medical waste clean water public health,False,0,3,4.4,27
VOL107,Priya Yadav,9253815116,priya82@gmail.com,Chiplun,17.55047,73.50025,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,True,2,3,4.0,11
VOL108,Rashmi Desai,9497341481,rashmi49@gmail.com,Goregaon,19.17846,72.87731,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,0,3,4.2,10
VOL109,Manisha Bhat,9810751262,manisha64@gmail.com,Malegaon,20.56367,74.5319,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,1,4,3.6,28
VOL110,Bharat Yadav,9622517939,bharat77@gmail.com,Osmanabad,18.18085,76.02483,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,True,1,3,4.5,37
VOL111,Rupa Shinde,9452318696,rupa25@gmail.com,Thane City,19.21202,72.98406,"medical,disaster relief",rescue operations flood disaster emergency first aid response recovery,True,2,2,4.6,18
VOL112,Ramesh Wagh,9526351920,ramesh15@gmail.com,Wardha,20.74114,78.57995,"food,education",teaching education mid day meal school feeding programme children nutrition,True,1,4,4.7,4
VOL113,Nisha Patil,9534900128,nisha12@gmail.com,Nanded,19.16357,77.34273,"hygiene,shelter",sanitation shelter hygiene camp setup toilet construction clean environment,True,1,4,4.1,7
VOL114,Umesh Reddy,9900801837,umesh53@gmail.com,Nalasopara,19.44589,72.77249,medical,medical support mental health counselling trauma care psychological first aid,True,1,4,3.6,19
VOL115,Amit Gaikwad,9975139327,amit28@gmail.com,Bhandara,21.14679,79.65063,medical,medical support mental health counselling trauma care psychological first aid,True,0,3,4.0,41
VOL116,Nitin More,9630554118,nitin69@gmail.com,Goregaon,19.14936,72.82941,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,False,1,2,4.9,40
VOL117,Sarita Mehta,9574817290,sarita90@gmail.com,Malegaon,20.56648,74.53809,"hygiene,disaster relief",sanitation waste management hygiene clean water drainage camp cleanliness,False,1,2,4.2,30
VOL118,Vishal Iyer,9182389284,vishal92@gmail.com,Panvel,18.99489,73.10862,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,1,2,4.1,18
VOL119,Rekha Yadav,9799905142,rekha34@gmail.com,Nandurbar,21.36712,74.23106,"food,education",teaching education mid day meal school feeding programme children nutrition,False,2,2,4.2,36
VOL120,Manisha Yadav,9641755366,manisha92@gmail.com,Hingoli,19.71778,77.17696,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,2,3,5.0,5
VOL121,Sunil Shinde,9538912794,sunil53@gmail.com,Kalyan,19.25616,73.16496,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,True,0,3,4.9,24
VOL122,Vijay Iyer,9747145068,vijay29@gmail.com,Beed City,18.99784,75.73415,medical,medical support mental health counselling trauma care psychological first aid,True,0,3,4.6,42
VOL123,Tushar Desai,9190966348,tushar49@gmail.com,Jalgaon City,21.01752,75.5876,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,False,1,3,3.7,45
VOL124,Siddharth Nair,9431642423,siddharth33@gmail.com,Aurangabad City,19.89499,75.35351,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,True,1,4,4.0,23
VOL125,Neha Gaikwad,9996703082,neha77@gmail.com,Bhandara,21.16588,79.63359,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,0,2,4.3,34
VOL126,Suresh Mehta,9874364348,suresh66@gmail.com,Aurangabad City,19.89878,75.35038,"disaster relief,medical",medical logistics medicine supply healthcare coordination camp management,True,0,4,4.7,10
VOL127,Meena Sawant,9432288618,meena70@gmail.com,Pune City,18.53098,73.84095,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,True,2,3,3.9,15
VOL128,Vikram Mane,9977130288,vikram35@gmail.com,Bhiwandi,19.32703,73.08757,"medical,disaster relief",logistics coordination supply management first aid general volunteer emergency,False,2,4,4.3,10
VOL129,Nanda Naik,9190060226,nanda30@gmail.com,Dombivli,19.18753,73.08854,"hygiene,medical",sanitation hygiene disease prevention medical waste clean water public health,True,0,4,4.8,18
VOL130,Sachin Deshpande,9639026034,sachin57@gmail.com,Akola,20.68844,76.99895,"hygiene,food",food distribution hygiene sanitation safe food handling nutrition community,False,2,2,4.1,25
VOL131,Nitin Thorat,9990949719,nitin70@gmail.com,Kurla,19.06509,72.85429,medical,medical support mental health counselling trauma care psychological first aid,False,1,2,3.7,18
VOL132,Nanda Bhat,9753780028,nanda77@gmail.com,Vasai,19.36285,72.83272,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,0,2,4.3,46
VOL133,Girish More,9998386592,girish73@gmail.com,Bhandara,21.15399,79.63807,disaster relief,rescue coordination logistics disaster management emergency supply chain,True,1,4,4.2,7
VOL134,Ajay Nair,9813363254,ajay95@gmail.com,Akola,20.7141,77.01581,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,True,1,2,4.4,11
VOL135,Manoj Nimbalkar,9146744734,manoj91@gmail.com,Pune City,18.49446,73.85826,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,False,1,2,4.1,30
VOL136,Madhuri Mane,9889401015,madhuri52@gmail.com,Dombivli,19.22924,73.08113,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,2,4,3.7,37
VOL137,Nanda Shinde,9971339002,nanda27@gmail.com,Nashik Road,20.00026,73.80861,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,False,1,4,4.2,11
VOL138,Arun Shah,9653388913,arun60@gmail.com,Bhandara,21.19332,79.62222,"disaster relief,food",food distribution logistics supply chain community kitchen ration management,True,0,2,4.0,19
VOL139,Yogesh Pawar,9958287383,yogesh57@gmail.com,Andheri East,19.1288,72.85117,"hygiene,medical",sanitation hygiene disease prevention medical waste clean water public health,False,0,4,4.0,7
VOL140,Nisha Shetty,9386389162,nisha20@gmail.com,Kolhapur,16.7196,74.26698,"medical,education",teaching education children school learning counselling emotional support youth,True,0,4,4.2,33
VOL141,Girish Desai,9578798403,girish87@gmail.com,Latur Camp,18.41495,76.57974,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,3,4.5,19
VOL142,Girish Kamble,9180574838,girish95@gmail.com,Nalasopara,19.41733,72.79403,"hygiene,medical",sanitation hygiene disease prevention medical waste clean water public health,True,1,4,5.0,3
VOL143,Rashmi Mane,9353398109,rashmi92@gmail.com,Akola,20.72767,77.01346,"medical,disaster relief",rescue operations flood disaster emergency first aid response recovery,True,1,3,3.6,4
VOL144,Omkar Mane,9716243819,omkar27@gmail.com,Solapur East,17.70747,75.87834,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,3,3,4.2,4
VOL145,Omkar Thorat,9226444910,omkar43@gmail.com,Amravati City,20.94637,77.76458,medical,medical support mental health counselling trauma care psychological first aid,True,0,4,4.1,35
VOL146,Jyoti Shah,9577934499,jyoti21@gmail.com,Osmanabad,18.16887,76.04861,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,0,2,4.2,45
VOL147,Akash Mehta,9784725186,akash32@gmail.com,Nashik Road,20.01007,73.7928,"shelter,disaster relief",shelter construction rescue debris clearing evacuation infrastructure repair,False,2,4,4.6,44
VOL148,Omkar Nimbalkar,9601873197,omkar80@gmail.com,Thane City,19.19558,72.96016,"elderly support,medical",medical elderly care nursing geriatric health senior citizen support,True,1,3,4.3,23
VOL149,Dinesh Yadav,9789705810,dinesh19@gmail.com,Kurla,19.04654,72.87649,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,2,4,3.6,20
VOL150,Sarita Deshpande,9992699085,sarita25@gmail.com,Bhiwandi,19.30124,73.0362,"food,education",teaching education mid day meal school feeding programme children nutrition,True,0,2,4.1,3
VOL151,Lata Kulkarni,9310777576,lata91@gmail.com,Borivali,19.21042,72.88278,"hygiene,food",food distribution hygiene sanitation safe food handling nutrition community,True,3,3,4.8,16
VOL152,Archana Jadhav,9770529419,archana87@gmail.com,Beed City,18.97717,75.76221,"elderly support,food",food distribution elderly care senior nutrition home delivery community support,True,1,4,3.7,42
VOL153,Varsha Reddy,9923515952,varsha83@gmail.com,Malegaon,20.53037,74.53073,medical,medical aid emergency healthcare first aid treatment patient care nursing,True,1,4,3.9,13
VOL154,Komal Yadav,9536038528,komal48@gmail.com,Beed City,18.96082,75.78354,"food,education",teaching education mid day meal school feeding programme children nutrition,True,3,3,3.9,43
VOL155,Umesh Desai,9442863363,umesh54@gmail.com,Nalasopara,19.39429,72.79358,"medical,disaster relief",rescue medical emergency first aid flood disaster comprehensive response team,True,0,2,4.0,45
VOL156,Rashmi Jadhav,9154337019,rashmi47@gmail.com,Yavatmal,20.38103,78.1241,"hygiene,disaster relief",sanitation waste management hygiene clean water drainage camp cleanliness,True,0,3,3.9,6
VOL157,Madhuri Naik,9271092615,madhuri73@gmail.com,Ahmednagar,19.09029,74.77726,"elderly support,medical",elderly support senior citizen care emotional support companionship home visit,False,3,4,4.0,48
VOL158,Geeta Wagh,9154267347,geeta46@gmail.com,Nagpur East,21.15004,79.0916,"medical,education",teaching education children school learning counselling emotional support youth,True,2,2,4.4,3
